USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      3730  0.1  0.0      0     0 ?        S<   Apr04  22:37 [jbd2/dm-1-8]
root      3731  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3732  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3733  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3734  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3735  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3736  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3737  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3738  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3739  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3740  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3741  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3742  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ext4-dio-unwrit]
root      3929  0.0  0.0      0     0 ?        S<   Apr04   0:00 [iscsi_eh]
root      3950  0.0  0.0  89908  1132 ?        Ss   Apr09   6:14 sendmail: accepting connections
smmsp     3958  0.0  0.0  74404   816 ?        Ss   Apr09   0:00 sendmail: Queue runner@01:00:00 for /var/spool/clientmqueue
root      4057  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_addr]
ssma      4090  0.0  0.0  65524  1340 pts/12   Ss+  Apr15   0:00 /bin/bash
root      4098  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_mcast]
root      4099  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_inform]
root      4100  0.0  0.0      0     0 ?        S<   Apr04   0:00 [local_sa]
root      4114  0.0  0.0      0     0 ?        S<   Apr04   0:00 [iw_cm_wq]
root      4128  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/0]
root      4129  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/1]
root      4130  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/2]
root      4131  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/3]
root      4132  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/4]
root      4133  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/5]
root      4134  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/6]
root      4135  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/7]
root      4136  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/8]
root      4137  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/9]
root      4138  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/10]
root      4139  0.0  0.0      0     0 ?        S<   Apr04   0:00 [ib_cm/11]
root      4153  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rdma_cm]
tgebru    4159  0.0  0.0  66164  2120 pts/31   Ss+  Apr15   0:00 /bin/bash
root      4190  0.0  0.0  28708 22556 ?        S<Lsl Apr04   0:00 iscsiuio
root      4197  0.0  0.0   4600   376 ?        Ss   Apr04   0:01 iscsid
root      4198  0.0  0.0   5104  3052 ?        S<Ls Apr04   0:04 iscsid
root      4446  0.0  0.0   6772   480 ?        Ss   Apr04   0:00 /sbin/dhclient -1 -q -lf /var/lib/dhclient/dhclient-eth0.leases -pf /var/run/dhclient-eth0.pid eth0
root      4524  0.0  0.0      0     0 ?        S<   Apr04   0:00 [kauditd]
root      4546  0.0  0.0  10136   712 ?        Ss   Apr04   3:36 syslogd -m 0
root      4549  0.0  0.0   3832   428 ?        Ss   Apr04   1:20 klogd -x
root      4621  0.0  0.0  10792   324 ?        Ss   Apr04   4:53 irqbalance
rpc       4639  0.0  0.0   8080   616 ?        Ss   Apr04   0:00 portmap
root      4676  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/0]
root      4677  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/1]
root      4678  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/2]
root      4679  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/3]
root      4680  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/4]
root      4681  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/5]
root      4682  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/6]
root      4683  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/7]
root      4684  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/8]
root      4685  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/9]
root      4686  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/10]
root      4687  0.0  0.0      0     0 ?        S<   Apr04   0:00 [rpciod/11]
root      4728  0.0  0.0  55228   232 ?        Ss   Apr04   0:00 rpc.idmapd
dbus      4753  0.0  0.0  35208   892 ?        Ss   Apr04   0:00 dbus-daemon --system
root      4762  0.0  0.0  10460   380 ?        Ss   Apr04   0:00 /usr/sbin/hcid
root      4768  0.0  0.0   5964   404 ?        Ss   Apr04   0:00 /usr/sbin/sdpd
root      4822  0.0  0.0      0     0 ?        S<   Apr04   0:00 [krfcommd]
root      4860  0.0  0.0  21204   668 ?        Ssl  Apr04   1:32 pcscd
ssma      5054  0.0  0.0  65396  1328 pts/14   Ss   Apr15   0:00 /bin/bash
68        5255  0.0  0.0  51708  1988 ?        Ss   Apr04   5:44 hald
root      5256  0.0  0.0  21728   448 ?        S    Apr04   0:00 hald-runner
68        5263  0.0  0.0  12352   524 ?        S    Apr04   0:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
68        5275  0.0  0.0  12352   516 ?        S    Apr04   0:00 hald-addon-keyboard: listening on /dev/input/event1
root      5287  0.0  0.0  10260   628 ?        S    Apr04   6:07 hald-addon-storage: polling /dev/sr0
ssma      5315  0.0  0.0  65524  1428 pts/15   Ss+  Apr15   0:00 /bin/bash
root      5322  0.0  0.0   8544   372 ?        Ss   Apr04   0:00 /usr/bin/hidd --server
nscd      5385  0.0  0.0 262116  3184 ?        Ssl  Apr04   8:05 /usr/sbin/nscd
root      5427  0.0  0.0      0     0 ?        S    Apr04   1:44 [afs_rxlistener]
root      5429  0.0  0.0      0     0 ?        S    Apr04   0:00 [afs_callback]
root      5431  0.0  0.0      0     0 ?        S    Apr04   0:00 [afs_rxevent]
root      5433  0.0  0.0      0     0 ?        S    Apr04   0:13 [afsd]
root      5435  0.0  0.0      0     0 ?        S    Apr04   5:27 [afs_checkserver]
root      5437  0.0  0.0      0     0 ?        S    Apr04   0:17 [afs_background]
root      5439  0.0  0.0      0     0 ?        S    Apr04   0:16 [afs_background]
root      5441  0.0  0.0      0     0 ?        S    Apr04   0:04 [afs_cachetrim]
root      5464  0.0  0.0  62936   608 ?        Ss   Apr04   1:20 /usr/sbin/sshd
jkrause   5469  0.0  0.0  81996   896 ?        Ss   Apr07   0:00 /usr/bin/perl /afs/cs/software/bin/reauth
root      5486  0.0  0.0  21884   524 ?        Ss   Apr04   0:00 xinetd -stayalive -pidfile /var/run/xinetd.pid
root      5637  0.0  0.0  64088   756 ?        S    Apr04   0:00 /bin/sh /usr/bin/mysqld_safe --datadir=/imagenetdb/mysql --socket=/var/lib/mysql/mysql.sock --log-error=/var/log/mysqld.log --pid-file=/var/run/mysqld/mysqld.pid --user=mysql
root      5768  0.0  0.0   6484   288 ?        Ss   Apr04   1:59 gpm -m /dev/input/mice -t exps2
apache    5777  0.0  0.0  84088  1072 ?        Ss   Apr04   0:00 /usr/bin/perl /afs/cs/software/bin/reauth -u apache -k /etc/httpd/conf/www.keytab www
root      5788  0.0  0.0 314984 29016 ?        Ss   Apr04   6:09 /usr/sbin/httpd
xfs       5826  0.0  0.0  19312   592 ?        Ss   Apr04   2:02 xfs -droppriv -daemon
root      5843  0.0  0.0  17092   344 ?        Ss   Apr04   1:25 /usr/sbin/atd
root      5876  0.0  0.0 224504   848 ?        Sl   Apr04   0:00 libvirtd --daemon
tgebru    5902  0.0  0.0  66164  2012 pts/32   Ss   Apr15   0:00 /bin/bash
avahi     5903  0.0  0.0  22380  1640 ?        Ss   Apr04   7:26 avahi-daemon: running [imagenet.local]
avahi     5904  0.0  0.0  21516   148 ?        Ss   Apr04   0:00 avahi-daemon: chroot helper
tgebru    5983  0.0  0.0 114144  4132 pts/32   S+   Apr15   0:00 mysql -u tgebru
nobody    6124  0.0  0.0   4376   408 ?        S    Apr04   4:30 /usr/sbin/dnsmasq --strict-order --bind-interfaces --pid-file=/var/run/libvirt/network/default.pid --conf-file=  --listen-address 192.168.122.1 --except-interface lo --dhcp-range 192.168.122.2,192.168.122.254 --dhcp-lease-max=253 --dhcp-no-override
root      6299  0.1  0.2 304608 123680 ?       Ssl  Apr04  25:44 /usr/local/bin/mrmonitord
root      6309  0.0  0.0  73860   300 ?        S    Apr04   2:51 /usr/sbin/smartd -q never
root      6319  0.0  0.0  64080   616 ?        S    Apr04   0:00 sh /usr/local/MegaRAID Storage Manager/Framework/startup.sh
root      6324  0.2  0.3 1241196 172492 ?      Sl   Apr04  45:21 ../jre/bin/java -classpath ../jre/lib/rt.jar:../jre/lib/jsse.jar:../jre/lib/jce.jar -Djava.library.path=. -jar Framework.jar
root      6325  0.0  0.0   3820   416 tty1     Ss+  Apr04   0:00 /sbin/mingetty tty1
root      6326  0.0  0.0   3820   412 tty2     Ss+  Apr04   0:00 /sbin/mingetty tty2
root      6327  0.0  0.0   3820   432 tty3     Ss+  Apr04   0:00 /sbin/mingetty tty3
root      6329  0.0  0.0   3820   408 tty4     Ss+  Apr04   0:00 /sbin/mingetty tty4
root      6330  0.0  0.0   3820   420 tty5     Ss+  Apr04   0:00 /sbin/mingetty tty5
root      6332  0.0  0.0   3820   412 tty6     Ss+  Apr04   0:00 /sbin/mingetty tty6
root      6338  0.0  0.0 166064   716 ?        Ss   Apr04   0:00 /usr/sbin/gdm-binary -nodaemon
olga      6892  1.4  0.7 1388692 382072 pts/5  Sl+  Apr15  39:13 /afs/cs.stanford.edu/package/matlab-r2011b/matlab/r2011b/bin/glnxa64/MATLAB
tgebru    7919  0.0  0.0 110420  2068 pts/22   S+   Apr16   0:00 screen -r 2784.pts-28.imagenet
root      8372  0.0  0.0 109756  1468 ?        Ss   Apr04   1:51 SCREEN
olga      8373  0.0  0.0  83216  1356 pts/3    Ss   Apr04   0:00 -bin/tcsh
olga      8938  0.0  0.0  83224  1248 pts/5    Ss   Apr04   0:00 -bin/tcsh
jkrause  10013  0.0  0.0 149484  7008 pts/7    S+   09:57   0:00 /afs/cs.stanford.edu/u/jkrause/scr/bin/vim73/local_out/bin/vim my_run_picky_any.py
tgebru   10344  0.0  0.0  66164  2268 pts/11   Ss+  Apr16   0:00 /bin/bash
tgebru   11457  0.0  0.0  66164  2288 pts/35   Ss   Apr16   0:00 /bin/bash
tgebru   11537  0.0  0.0 114296  4968 pts/35   S+   Apr16   0:00 mysql -u tgebru
root     11661  0.0  0.0 126136  3112 ?        Ss   Apr14   0:00 sshd: jkrause [priv]
root     11719  0.0  0.0 127024  3120 ?        Ss   Apr14   0:00 sshd: jkrause [priv]
jkrause  11812  0.0  0.0 127112  2840 ?        S    Apr14   0:11 sshd: jkrause@pts/6
jkrause  11815  0.0  0.0  65664  1732 pts/6    Ss   Apr14   0:00 -bash
jkrause  11949  0.0  0.0 127024  1996 ?        S    Apr14   0:00 sshd: jkrause@pts/44
jkrause  11950  0.0  0.0  65664  1704 pts/44   Ss+  Apr14   0:00 -bash
root     12136  0.0  0.0 165448  4624 pts/20   S+   13:46   0:00 sudo vim /etc/httpd/conf/httpd.conf
olga     12176  0.0  0.0  83240  1864 pts/24   S+   Apr16   0:00 -csh
root     12356  0.0  0.0  95864  3388 pts/20   S+   13:46   0:00 vim /etc/httpd/conf/httpd.conf
root     12524  0.0  0.0 126136  2024 ?        Ss   Apr14   0:00 sshd: ssma [priv]
olga     12544  0.0  0.0  83364  1448 pts/9    Ss   Apr04   0:00 -bin/tcsh
olga     12575  0.0  0.0  83388  1668 pts/10   Ss+  Apr04   0:00 -bin/tcsh
ssma     12579  0.0  0.0 126440  1276 ?        S    Apr14   0:37 sshd: ssma@pts/62
ssma     12580  0.0  0.0  65396  1152 pts/62   Ss   Apr14   0:00 -bash
olga     12591  0.0  0.0  83384  1836 pts/2    Ss+  Apr04   0:00 -bin/tcsh
ssma     12842  0.0  0.0 517648  4204 ?        Sl   Apr08   0:44 python crawl_batch2.py query2/batch/query_batch_01
ssma     12843  0.0  0.0 637732  6192 ?        Sl   Apr08   1:54 python crawl_batch2.py query2/batch/query_batch_02
ssma     12844  0.0  0.0 495300  3612 ?        Sl   Apr08   1:08 python crawl_batch2.py query2/batch/query_batch_03
ssma     12845  0.0  0.0 558720 10304 ?        Sl   Apr08   1:22 python crawl_batch2.py query2/batch/query_batch_04
ssma     12846  0.0  0.0 528668  6700 ?        Sl   Apr08   0:53 python crawl_batch2.py query2/batch/query_batch_05
ssma     12847  0.0  0.0 513036  8620 ?        Sl   Apr08   2:36 python crawl_batch2.py query2/batch/query_batch_06
ssma     12848  0.0  0.0 452736  8336 ?        Sl   Apr08   1:49 python crawl_batch2.py query2/batch/query_batch_07
ssma     12849  0.0  0.0 503956  5300 ?        Sl   Apr08   1:06 python crawl_batch2.py query2/batch/query_batch_08
ssma     12853  0.0  0.0 511848  6720 ?        Sl   Apr08   1:26 python crawl_batch2.py query2/batch/query_batch_09
ssma     12855  0.0  0.0 580756  5704 ?        Sl   Apr08   1:41 python crawl_batch2.py query2/batch/query_batch_10
